ShortName,RegionName,FullName,WebSite
ЧОУ ВО «СПбИЭУ»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Санкт-Петербургский институт экономики и управления»,www.spbiem.ru
ЧОУВО «СПбМСИ»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Санкт-Петербургский медико-социальный институт»,http://medinstitut.org/
ЧОУВО «СПбРСИ»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Санкт-Петербургский реставрационно-строительный институт»,http://spbiir.ru/
"ЧОУ  ВО ""СПИ""",Республика Дагестан,Частное образовательное учреждение высшего образования «Социально-педагогический институт»,
"Таганрогский институт управления и экономики, ЧОУ ВО «Таганрогский институт управления и экономики», ТИУиЭ",Ростовская область,Частное образовательное учреждение высшего образования «Таганрогский институт управления и экономики»,
Тольяттинская академия управления,Самарская область,Частное образовательное учреждение высшего образования «Тольяттинская академия управления»,www.taom.academy
ЧОУ ВО ЮУ (ИУБиП),Ростовская область,Частное образовательное учреждение высшего образования «ЮЖНЫЙ УНИВЕРСИТЕТ (ИУБиП)»,www.iubip.ru
ЧОУ ВО «Юридический институт»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Юридический институт»,
ООВО «МИИ»,г. Москва,Частное учреждение - образовательная организация высшего образования Московский исламский институт,
ЧУ ВО «ИГА»,г. Москва,Частное учреждение высшего образования «Институт государственного администрирования»,https://iga.ru
ЧУ ВО МосАП,г. Москва,Частное учреждение высшего образования «Московская академия предпринимательства»,https://mosap.ru/
МСЭИ,г. Москва,Частное учреждение высшего образования «Московский социально-экономический институт»,
ЧУВО РИИ,Республика Татарстан (Татарстан),Частное учреждение высшего образования «Российский исламский институт»,http://kazanriu.ru/
ЮРГИ,Ростовская область,Частное учреждение высшего образования «Южно-Российский гуманитарный институт»,
Медицинский университет «Реавиз»,Самарская область,частное учреждение образовательная организация высшего образования «Медицинский университет «Реавиз»,
ЧУОО ВО «ОмГА»,Омская область,Частное учреждение образовательная организация высшего образования «Омская гуманитарная академия»,www.omga.su
Сибирский университет потребительской кооперации (СибУПК),Новосибирская область,автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Сибирский университет потребительской кооперации»,www.sibupk.su
Сибирский университет потребительской кооперации (СибУПК),Новосибирская область,автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Сибирский университет потребительской кооперации»,
БУ «Сургутский государственный педагогический университет»,Ханты-Мансийский автономный округ - Югра,бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры «Сургутский государственный педагогический университет»,www.surgpu.ru
БУ «Ханты - Мансийская государственная медицинская академия»,Ханты-Мансийский автономный округ - Югра,бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры «Ханты-Мансийская государственная медицинская академия»,http://www.hmgma.ru/
"БУ ВО «Сургутский государственный университет», Сургутский государственный университет, СурГУ",Ханты-Мансийский автономный округ - Югра,бюджетное учреждение высшего образования Ханты-Мансийского автономного округа – Югры «Сургутский государственный университет»,www.surgu.ru
"ГАОУ ВО «Дагестанский государственный университет народного хозяйства», Дагестанский государственный университет народного хозяйства, ДГУНХ",Республика Дагестан,государственное автономное образовательное учреждение высшего образования «Дагестанский государственный университет народного хозяйства»,www.dgunh.ru
"НГГТИ, ГАОУ ВО «Невинномысский государственный гуманитарно-технический институт»",Ставропольский край,государственное автономное образовательное учреждение высшего образования «Невинномысский государственный гуманитарно-технический институт»,http://нггти.рф/
ГАОУ ВО НСО НГТИ,Новосибирская область,государственное автономное образовательное учреждение высшего образования Новосибирской области «Новосибирский государственный театральный институт»,www.ngti.ru
ГБОУ АО ВО «АГАСУ»,Астраханская область,государственное бюджетное образовательное учреждение Астраханской области высшего образования «Астраханский государственный архитектурно-строительный университет»,агасу.рф
ГБОУ ВО АГНИ,Республика Татарстан (Татарстан),государственное бюджетное образовательное учреждение высшего образования «Альметьевский государственный нефтяной институт»,www.agni-rt.ru
"ГБОУ ВО «Волжский институт экономики, педагогики и права», ГБОУ ВО ВИЭПП, ВИЭПП",Волгоградская область,"государственное бюджетное образовательное учреждение высшего образования «Волжский институт экономики, педагогики и права»",http://www.viepp.ru/
ГБОУ ВО «ОГИИ им. Л. и М. Ростроповичей»,Оренбургская область,государственное бюджетное образовательное учреждение высшего образования «Оренбургский государственный институт искусств им. Л. и М. Ростроповичей»,
СОГПИ,Республика Северная Осетия - Алания,государственное бюджетное образовательное учреждение высшего образования «Северо-Осетинский государственный педагогический институт»,
ГБОУ ВО СГПИ,Ставропольский край,государственное бюджетное образовательное учреждение высшего образования «Ставропольский государственный педагогический институт»,www.sspi.ru
ГБОУ ВО «ЮУрГИИ им. П.И. Чайковского»,Челябинская область,государственное бюджетное образовательное учреждение высшего образования «Южно-Уральский государственный институт искусств имени П.И. Чайковского»,
ГБОУ ВО КО «Педагогический институт»,Калининградская область,государственное бюджетное образовательное учреждение высшего образования Калининградской области «Педагогический институт»,www.ipc39.ru
АСОУ,г. Москва,государственное бюджетное образовательное учреждение высшего образования Московской области «Академия социального управления»,
ГБОУ ВО ЧО «МаГК (академия) имени М.И. Глинки»,Челябинская область,государственное бюджетное образовательное учреждение высшего образования Челябинской области «Магнитогорская государственная консерватория (академия) имени М.И. Глинки»,www.magkmusic.com
ГБОУ ВО ЧО «МаГК (академия) имени М.И. Глинки»,Челябинская область,государственное бюджетное образовательное учреждение высшего образования Челябинской области «Магнитогорская государственная консерватория (академия) имени М.И. Глинки»,www.magkmusic.com
Российская таможенная академия,Московская область,государственное казенное образовательное учреждение высшего образования «Российская таможенная академия»,http://rta.customs.ru
ГОБУК ВО «ВГИИК»,Волгоградская область,государственное образовательное бюджетное учреждение культуры высшего образования «Волгоградский государственный институт искусств и культуры»,вгиик.рф
ГОУ ВО КРАГСиУ,Республика Коми,государственное образовательное учреждение высшего  образования «Коми республиканская академия государственной службы и управления»,
ГОУ ВО КРАГСиУ,Республика Коми,государственное образовательное учреждение высшего  образования «Коми республиканская академия государственной службы и управления»,
ГГТУ,Московская область,государственное образовательное учреждение высшего образования Московской области «Государственный гуманитарно-технологический университет»,
ГОУ ВО МО «Государственный социально-гуманитарный университет»,Московская область,государственное образовательное учреждение высшего образования Московской области «Государственный социально-гуманитарный университет»,www/ kolomna-kgpi.ru
Белорусско-Российский университет,"образовательные учреждения, находящиеся за пределами Российской Федерации",межгосударственное образовательное учреждение высшего образования «Белорусско-Российский университет»,www.bru.by
МОУ ВО РТСУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",межгосударственное образовательное учреждение высшего образования «Российско-Таджикский (Cлавянский) университет»,http://www.rtsu.tj/ru
МБОУ ВО «Тольяттинская консерватория»,Самарская область,муниципальное бюджетное образовательное учреждение высшего образования городского округа Тольятти «Тольяттинская консерватория»,
МОАУ ВО «Воронежский институт экономики и социального управления»,Воронежская область,муниципальное образовательное автономное учреждение высшего образования «Воронежский институт экономики и социального управления»,
НЧОУ ВО «НИЭУП»,Ставропольский край,"некоммерческое частное образовательное учреждение высшего образования «Невинномысский институт экономики, управления и права»",http://nieup.ru/
ОГБОУ ВО «Смоленский государственный институт искусств»,Смоленская область,областное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный институт искусств»,
ИМПЭ им. А.С. Грибоедова,г. Москва,образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,NULL
МТУСИ,г. Москва,ордена Трудового Красного Знамени федеральное государственное бюджетное образовательное учреждение высшего образования «Московский технический университет связи и информатики»,http://www.mtuci.ru/
Национальный исследовательский университет «МИЭТ»; НИУ МИЭТ; МИЭТ,г. Москва,федеральное государственное автономное  образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»,www.miet.ru
"ФГАОУ ВО «Балтийский федеральный университет имени Иммануила Канта», ФГАОУ ВО «Балтийский федеральный университет им. И. Канта», Балтийский федеральный университет имени Иммануила Канта, Балтийский федеральный университет им. И. Канта, ФГАОУ ВО «БФУ им. И. Канта», БФУ им. И. Канта",Калининградская область,федеральное государственное автономное образовательное учреждение высшего образования «Балтийский федеральный университет имени Иммануила Канта»,https://www.kantiana.ru/
"ФГАОУ ВО «Белгородский государственный  национальный исследовательский университет», Белгородский государственный  национальный исследовательский университет, НИУ ""БелГУ""",Белгородская область,федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,http://bsu.edu.ru/bsu/
"ВолГУ, ФГАОУ ВО «Волгоградский государственный университет», Волгоградский государственный университет, ФГАОУ ВО ВолГУ",Волгоградская область,федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский государственный университет»,www.volsu.ru
"ФГАОУ ВО «Государственный университет просвещения», Государственный университет просвещения, Просвет",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Государственный университет просвещения»,www.mgou.ru
"ФГАОУ ВО «Дальневосточный федеральный университет», Дальневосточный федеральный университет, ФГАОУ ВО ДВФУ, ДВФУ",Приморский край,федеральное государственное автономное образовательное учреждение высшего образования «Дальневосточный федеральный университет»,https://www.dvfu.ru/
"ФГАОУ ВО «Казанский (Приволжский) федеральный университет», ФГАОУ ВО КФУ, КФУ, Казанский федеральный университет, Казанский университет, Казанский (Приволжский) федеральный университет",Республика Татарстан (Татарстан),федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»,www.kpfu.ru
Крымский федеральный университет имени В.И. Вернадского; ФГАОУ ВО «КФУ им. В.И. Вернадского»,Республика Крым,федеральное государственное автономное образовательное учреждение высшего образования «Крымский федеральный университет имени В.И. Вернадского»,https://cfuv.ru/
Университет имени О.Е. Кутафина (МГЮА); МГЮА (Университет имени О.Е. Кутафина),г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)»,http://msal.ru/
"Московский политехнический университет, Московский Политех, Политех",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский политехнический университет»,mospolytech.ru
"МФТИ, Физтех",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский физико-технический институт (национальный исследовательский университет)»,mipt.ru
"ФГАОУ ВО «Мурманский арктический университет», Мурманский арктический университет, ФГАОУ ВО «МАУ», МАУ",Мурманская область,федеральное государственное автономное образовательное учреждение высшего образования «Мурманский арктический университет»,www.mstu.edu.ru
"Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского, Нижегородский государственный университет им. Н.И. Лобачевского, ННГУ им. Н.И. Лобачевского, Университет Лобачевского, ННГУ",Нижегородская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»,http://www.unn.ru/
"Национальный исследовательский Томский государственный университет, Томский государственный университет, НИ ТГУ, ТГУ",Томская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»,www.tsu.ru
"ФГАОУ ВО НИ ТПУ, ТПУ, Национальный исследовательский Томский политехнический университет, Томский политехнический университет",Томская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»,
"Университет науки и технологий МИСИС, Университет МИСИС, НИТУ МИСИС, МИСИС",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСИС»,www.misis.ru
"Национальный исследовательский университет «Высшая школа экономики», Высшая школа экономики, НИУ ВШЭ, ВШЭ",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»,http://www.hse.ru
"Университет ИТМО, НИУ ИТМО, ИТМО",г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»,www.itmo.ru
НИЯУ МИФИ,г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»,http://www.mephi.ru
"Новосибирский государственный университет, НГУ",Новосибирская область,федеральное государственное автономное образовательное учреждение высшего образования «Новосибирский национальный исследовательский государственный университет»,https://www.nsu.ru
"ФГАОУ ВО «Омский государственный технический университет», ОмГТУ",Омская область,федеральное государственное автономное образовательное учреждение высшего образования «Омский государственный технический университет»,http://www.omgtu.ru/
"ФГАОУ ВО «ОмГУ им. Ф.М. Достоевского», ОмГУ им. Ф.М. Достоевского, ОмГУ",Омская область,федеральное государственное автономное образовательное учреждение высшего образования «Омский государственный университет им. Ф.М. Достоевского»,http://omsu.ru
"ФГАОУ ВО «Пермский государственный национальный исследовательский университет»,  ПГНИУ, Пермский государственный национальный исследовательский университет, Пермский государственный университет, ПГУ",Пермский край,федеральное государственное автономное образовательное учреждение высшего образования «Пермский государственный национальный исследовательский университет»,http://www.psu.ru/
"ФГАОУ ВО «Пермский национальный исследовательский политехнический университет», ФГАОУ ВО «ПНИПУ», «ПНИПУ»",Пермский край,федеральное государственное автономное образовательное учреждение высшего образования «Пермский национальный исследовательский политехнический университет»,http://pstu.ru/
"ФГАОУ ВО «РГППУ», РГППУ, ФГАОУ ВО «Российский государственный профессионально-педагогический университет»",Свердловская область,федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный профессионально-педагогический университет»,http://www.rsvpu.ru/
"ФГАОУ ВО «РГУ нефти и газа (НИУ) имени И.М. Губкина», РГУ нефти и газа (НИУ) имени И.М. Губкина, Губкинский университет",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина»,www.gubkin.ru
ФГАОУ ВО РНИМУ им. Н.И. Пирогова Минздрава России,г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский национальный исследовательский медицинский университет имени Н.И. Пирогова» Министерства здравоохранения Российской Федерации,www.rsmu.ru
"ФГАОУ ВО РУТ (МИИТ), РУТ (МИИТ)",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский университет транспорта»,www.miit.ru
"СГЭУ, ФГАОУ ВО «СГЭУ», ФГАОУ ВО «Самарский государственный экономический университет», Самарский государственный экономический университет",Самарская область,федеральное государственное автономное образовательное учреждение высшего образования «Самарский государственный экономический университет»,http://www.sseu.ru/
Самарский университет,Самарская область,федеральное государственное автономное образовательное учреждение высшего образования «Самарский национальный исследовательский университет имени академика С.П. Королева»,www.ssau.ru
"ГУАП, ФГАОУ ВО ГУАП, ФГАОУ ВО «Санкт-Петербургский государственный университет аэрокосмического приборостроения», Санкт-Петербургский государственный университет аэрокосмического приборостроения",г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет аэрокосмического приборостроения»,http://guap.ru
СПбГЭТУ «ЛЭТИ»,г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»,http://www.eltech.ru/ru/universitet/
"ФГАОУ ВО СПбПУ, СПбПУ, ФГАОУ ВО «СПбПУ», Санкт-Петербургский политехнический университет Петра Великого",г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»,http://www.spbstu.ru/
ФГАОУ ВО «Севастопольский государственный университет»,,федеральное государственное автономное образовательное учреждение высшего образования «Севастопольский государственный университет»,sevsu.ru
"ФГАОУ ВО «Северный (Арктический) федеральный университет имени М.В. Ломоносова», Северный (Арктический) федеральный университет имени М.В. Ломоносова, САФУ, САФУ имени М.В. Ломоносова",Архангельская область,федеральное государственное автономное образовательное учреждение высшего образования «Северный (Арктический) федеральный университет имени М.В. Ломоносова»,http://www.narfu.ru
ФГАОУ ВО «Северо-Восточный федеральный университет им. М.К. Аммосова»; Северо-Восточный федеральный университет; СВФУ,Республика Саха (Якутия),федеральное государственное автономное образовательное учреждение высшего образования «Северо-Восточный федеральный университет имени М.К. Аммосова»,https://www.s-vfu.ru/
"ФГАОУ ВО «Северо-Кавказский федеральный университет», Северо-Кавказский федеральный университет, СКФУ",Ставропольский край,федеральное государственное автономное образовательное учреждение высшего образования «Северо-Кавказский федеральный университет»,www.ncfu.ru
"ФГАОУ ВО «Сибирский федеральный университет», Сибирский федеральный университет, СФУ",Красноярский край,федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»,sfu-kras.ru
"ФГАОУ ВО «Тюменский государственный университет», Тюменский государственный университет, ТюмГУ",Тюменская область,федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,www.utmn.ru
"ФГАОУ ВО «УрФУ имени первого Президента России Б.Н. Ельцина», Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Уральский федеральный университет, УрФУ",Свердловская область,федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»,www.urfu.ru
"ФГАОУ ВО «ЮУрГУ (НИУ)», Южно-Уральский государственный университет",Челябинская область,федеральное государственное автономное образовательное учреждение высшего образования «Южно-Уральский государственный университет (национальный исследовательский университет)»,www.susu.ru; kharitonovdv@susu.ru
"Южный федеральный университет, ФГАОУ ВО «ЮФУ», ЮФУ",Ростовская область,федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»,www.sfedu.ru
ФГАОУ ВО Первый МГМУ им. И.М. Сеченова Минздрава России (Сеченовский Университет),г. Москва,федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет),NULL
ФГБОУ ВО ДГМА имени С.С. Прокофьева,Донецкая Народная Республика,федеральное государственное бюджетное  образовательное учреждение высшего образования  «Донецкая государственная музыкальная академия имени С.С. Прокофьева»,
Екатеринбургский государственный театральный институт,Свердловская область,федеральное государственное бюджетное  образовательное учреждение высшего образования «Екатеринбургский государственный театральный институт»,http://www.egti.ru
ФГБОУ ВО Иркутский ГАУ,Иркутская область,федеральное государственное бюджетное  образовательное учреждение высшего образования «Иркутский государственный аграрный университет имени А.А. Ежевского»,www.irsau.ru
"ФГБОУ ВО «КубГУ», ФГБОУ ВО «Кубанский государственный университет», Кубанский государственный университет",Краснодарский край,федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет»,www.kubsu.ru
"ФГБОУ ВО «Санкт-Петербургский государственный университет промышленных технологий и дизайна», Университет промышленных технологий и дизайна, СПбГУПТД, ПРОМТЕХДИЗАЙН",г. Санкт-Петербург,федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет промышленных технологий и дизайна»,http://sutd.ru/
ФГБОУ ВО СтГМУ Минздрава России,Ставропольский край,федеральное государственное бюджетное  образовательное учреждение высшего образования «Ставропольский государственный медицинский университет» Министерства здравоохранения Российской Федерации,
Военно-медицинская академия имени С.М. Кирова,г. Санкт-Петербург,федеральное государственное бюджетное военное образовательное учреждение высшего образования «Военно-медицинская академия имени С.М. Кирова» Министерства обороны Российской Федерации,http://vmeda.mil.ru/
Военно-космическая академия имени А.Ф. Можайского; ВКА имени А.Ф. Можайского,г. Санкт-Петербург,федеральное государственное бюджетное военное образовательное учреждение высшего образования «Военно-космическая академия имени А.Ф.Можайского» Министерства обороны Российской Федерации,
"Черноморское высшее военно-морское училище имени П.С.Нахимова, ЧВВМУ",г. Севастополь,федеральное государственное бюджетное военное образовательное учреждение высшего образования «Черноморское высшее военно-морское ордена Красной Звезды училище имени П.С.Нахимова» Министерства обороны Российской Федерации (г. Севастополь),www.mil.ru
Воронежский государственный институт искусств,Воронежская область,федеральное государственное бюджетное образовательное учреждение  высшего образования «Воронежский государственный институт искусств»,
ФГБОУ ВО РГАУ-МСХА имени К.А. Тимирязева,г. Москва,федеральное государственное бюджетное образовательное учреждение  высшего образования «Российский государственный аграрный университет – МСХА имени К.А. Тимирязева»,https://www.timacad.ru/
