,ShortName,RegionName,FullName,WebSite
199,ФГБОУ ВО «ЧГАФКиС»,Пермский край,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чайковская государственная академия физической культуры и спорта»,https://chgafkis.ru/
200,"""ФГБОУ ВО ЧГИФКиС""",Республика Саха (Якутия),Федеральное государственное бюджетное образовательное учреждение высшего образования «Чурапчинский государственный институт физической культуры и спорта»,https://chgifkis.ru/
201,"ФГБПОУ ""БЦБК""",Иркутская область,"Федеральное государственное бюджетное профессиональное образовательное учреждение ""Братский целлюлозно-бумажный колледж""",https://brstu.ru/
203,ФГБОУ ВО «ДонГТУ»,Луганская Народная Республика,Федеральному государственному бюджетному образовательному учреждению высшего образования «Донбасский государственный технический университет»,https://www.dstu.education/
204,ЧООВО «ИМЭ»,Республика Дагестан,Частная образовательная организация высшего образования «Институт мировой экономики»,http://www.imeder.ru/
205,"ЧОУ ВО «Владикавказский институт управления», Владикавказский институт управления, ВИУ",Республика Северная Осетия - Алания,Частное образовательное учреждение высшего образования «Владикавказский институт управления»,http://viu-online.ru/
207,"ЧОУ ВО ""ИМТП""",г. Москва,"Частное образовательное учреждение высшего образования  ""Институт международной торговли и права""",https://www.imtp.ru/
208,"ЧОУ ВО ""БАТиП""",г. Санкт-Петербург,"Частное образовательное учреждение высшего образования ""Балтийская академия туризма и предпринимательства""",http://batp.ru/
209,"ЧОУ ВО АУП, АУП",г. Москва,Частное образовательное учреждение высшего образования «Академия управления и производства»,https://amp1996.ru/
210,ЧОУ ВО «БГИ»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Балтийский Гуманитарный Институт»,http://bhi.spb.ru/
211,ЧОУ ВО «ВСИЭП»,Иркутская область,Частное образовательное учреждение высшего образования «Восточно-Сибирский институт экономики и права»,https://vsiep.ru/
212,ЧОУВО «ДВИК»,Приморский край,Частное образовательное учреждение высшего образования «Дальневосточный институт коммуникаций»,https://www.dvik.info/
213,ЧОУ ВО ЕИУБП,Ставропольский край,"Частное образовательное учреждение высшего образования «Ессентукский институт управления, бизнеса и права»",http://eiubp.ru/
214,"ЧОУ ВО «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА», ЧОУ ВО «ИДНК», ИДНК, ЧОУ «ИДНК», ЧОУ «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА»",Ставропольский край,Частное образовательное учреждение высшего образования «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА»,https://www.idnk.ru/
215,ЧОУ ВО «ИСГЗ»,Республика Татарстан (Татарстан),Частное образовательное учреждение высшего образования «Институт социальных и гуманитарных знаний»,https://isgz.ru/
216,"«Кумертауский институт экономики и права», «КИЭП»",Республика Башкортостан,Частное образовательное учреждение высшего образования «Кумертауский институт экономики и права»,https://kiep.ucoz.ru/
217,МЭБИК,Курская область,"Частное образовательное учреждение высшего образования «Курский институт менеджмента, экономики и бизнеса»",https://www.mebik.ru/
218,ЧОУВО МИДиС,Челябинская область,Частное образовательное учреждение высшего образования «Международный Институт Дизайна и Сервиса»,https://midis.ru/
219,ЧОУВО «МУ им. С.Ю. Витте»,г. Москва,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,https://www.muiv.ru/
220,ЧОУ ВО «РОСИ»,Курская область,Частное образовательное учреждение высшего образования «Региональный открытый социальный институт»,http://rosi-edu.ru/
221,РИЗП,Ростовская область,Частное образовательное учреждение высшего образования «Ростовский институт защиты предпринимателя»,https://www.rizp.ru/
222,ЧОУ ВО «СПбИЭУ»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Санкт-Петербургский институт экономики и управления»,https://www.spbiem.ru/
223,ЧОУВО «СПбМСИ»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Санкт-Петербургский медико-социальный институт»,https://medinstitut.org/
224,ЧОУВО «СПбРСИ»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Санкт-Петербургский реставрационно-строительный институт»,https://spbrsi.ru/
225,"ЧОУ  ВО ""СПИ""",Республика Дагестан,Частное образовательное учреждение высшего образования «Социально-педагогический институт»,https://spi-vuz.ru/
226,"Таганрогский институт управления и экономики, ЧОУ ВО «Таганрогский институт управления и экономики», ТИУиЭ",Ростовская область,Частное образовательное учреждение высшего образования «Таганрогский институт управления и экономики»,https://www.tmei.ru/
227,Тольяттинская академия управления,Самарская область,Частное образовательное учреждение высшего образования «Тольяттинская академия управления»,https://www.taom.academy/
228,ЧОУ ВО ЮУ (ИУБиП),Ростовская область,Частное образовательное учреждение высшего образования «ЮЖНЫЙ УНИВЕРСИТЕТ (ИУБиП)»,http://www.iubip.ru/
229,ЧОУ ВО «Юридический институт»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Юридический институт»,https://lawinst-spb.ru/
230,ООВО «МИИ»,г. Москва,Частное учреждение - образовательная организация высшего образования Московский исламский институт,https://miu.su/
231,ЧУ ВО «ИГА»,г. Москва,Частное учреждение высшего образования «Институт государственного администрирования»,https://iga.ru/
232,ЧУ ВО МосАП,г. Москва,Частное учреждение высшего образования «Московская академия предпринимательства»,https://mosap.ru/
233,МСЭИ,г. Москва,Частное учреждение высшего образования «Московский социально-экономический институт»,https://www.msei.ru/
234,ЧУВО РИИ,Республика Татарстан (Татарстан),Частное учреждение высшего образования «Российский исламский институт»,https://kazanriu.ru/
235,ЮРГИ,Ростовская область,Частное учреждение высшего образования «Южно-Российский гуманитарный институт»,http://urgi.info/
236,Медицинский университет «Реавиз»,Самарская область,частное учреждение образовательная организация высшего образования «Медицинский университет «Реавиз»,https://www.reaviz.ru/
237,ЧУОО ВО «ОмГА»,Омская область,Частное учреждение образовательная организация высшего образования «Омская гуманитарная академия»,http://www.omga.su/
238,Сибирский университет потребительской кооперации (СибУПК),Новосибирская область,автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Сибирский университет потребительской кооперации»,http://www.sibupk.su/
239,БУ «Сургутский государственный педагогический университет»,Ханты-Мансийский автономный округ - Югра,бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры «Сургутский государственный педагогический университет»,http://www.surgpu.ru/
240,БУ «Ханты - Мансийская государственная медицинская академия»,Ханты-Мансийский автономный округ - Югра,бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры «Ханты-Мансийская государственная медицинская академия»,https://hmgma.ru/
241,"БУ ВО «Сургутский государственный университет», Сургутский государственный университет, СурГУ",Ханты-Мансийский автономный округ - Югра,бюджетное учреждение высшего образования Ханты-Мансийского автономного округа – Югры «Сургутский государственный университет»,http://www.surgu.ru/index
242,"ГАОУ ВО «Дагестанский государственный университет народного хозяйства», Дагестанский государственный университет народного хозяйства, ДГУНХ",Республика Дагестан,государственное автономное образовательное учреждение высшего образования «Дагестанский государственный университет народного хозяйства»,http://dgunh.ru/
243,"НГГТИ, ГАОУ ВО «Невинномысский государственный гуманитарно-технический институт»",Ставропольский край,государственное автономное образовательное учреждение высшего образования «Невинномысский государственный гуманитарно-технический институт»,http://нггти.рф/
244,ГАОУ ВО НСО НГТИ,Новосибирская область,государственное автономное образовательное учреждение высшего образования Новосибирской области «Новосибирский государственный театральный институт»,https://www.ngti.ru/
245,ГБОУ АО ВО «АГАСУ»,Астраханская область,государственное бюджетное образовательное учреждение Астраханской области высшего образования «Астраханский государственный архитектурно-строительный университет»,https://агасу.рф/
246,ГБОУ ВО АГНИ,Республика Татарстан (Татарстан),государственное бюджетное образовательное учреждение высшего образования «Альметьевский государственный нефтяной институт»,https://agni-rt.ru/
247,"ГБОУ ВО «Волжский институт экономики, педагогики и права», ГБОУ ВО ВИЭПП, ВИЭПП",Волгоградская область,"государственное бюджетное образовательное учреждение высшего образования «Волжский институт экономики, педагогики и права»",https://www.viepp.ru/
248,ГБОУ ВО «ОГИИ им. Л. и М. Ростроповичей»,Оренбургская область,государственное бюджетное образовательное учреждение высшего образования «Оренбургский государственный институт искусств им. Л. и М. Ростроповичей»,https://osiart.ru/
250,ГБОУ ВО СГПИ,Ставропольский край,государственное бюджетное образовательное учреждение высшего образования «Ставропольский государственный педагогический институт»,https://sspi.ru/
251,ГБОУ ВО «ЮУрГИИ им. П.И. Чайковского»,Челябинская область,государственное бюджетное образовательное учреждение высшего образования «Южно-Уральский государственный институт искусств имени П.И. Чайковского»,https://uyrgii.ru/
252,ГБОУ ВО КО «Педагогический институт»,Калининградская область,государственное бюджетное образовательное учреждение высшего образования Калининградской области «Педагогический институт»,https://pc.ipc39.ru/
253,АСОУ,г. Москва,государственное бюджетное образовательное учреждение высшего образования Московской области «Академия социального управления»,https://asou-mo.ru/
254,ГБОУ ВО ЧО «МаГК (академия) имени М.И. Глинки»,Челябинская область,государственное бюджетное образовательное учреждение высшего образования Челябинской области «Магнитогорская государственная консерватория (академия) имени М.И. Глинки»,https://www.magkmusic.com/
255,Российская таможенная академия,Московская область,государственное казенное образовательное учреждение высшего образования «Российская таможенная академия»,http://academy.customs.gov.ru/
256,ГОБУК ВО «ВГИИК»,Волгоградская область,государственное образовательное бюджетное учреждение культуры высшего образования «Волгоградский государственный институт искусств и культуры»,https://vgiik.com/
257,ГОУ ВО КРАГСиУ,Республика Коми,государственное образовательное учреждение высшего  образования «Коми республиканская академия государственной службы и управления»,https://www.krags.ru/
258,ГГТУ,Московская область,государственное образовательное учреждение высшего образования Московской области «Государственный гуманитарно-технологический университет»,https://www.ggtu.ru/
259,ГОУ ВО МО «Государственный социально-гуманитарный университет»,Московская область,государственное образовательное учреждение высшего образования Московской области «Государственный социально-гуманитарный университет»,https://gukolomna.ru/
260,Белорусско-Российский университет,"образовательные учреждения, находящиеся за пределами Российской Федерации",межгосударственное образовательное учреждение высшего образования «Белорусско-Российский университет»,http://bru.by/
261,МОУ ВО РТСУ,"образовательные учреждения, находящиеся за пределами Российской Федерации",межгосударственное образовательное учреждение высшего образования «Российско-Таджикский (Cлавянский) университет»,https://rtsu.tj/
262,МБОУ ВО «Тольяттинская консерватория»,Самарская область,муниципальное бюджетное образовательное учреждение высшего образования городского округа Тольятти «Тольяттинская консерватория»,https://ktlt.ru
263,МОАУ ВО «Воронежский институт экономики и социального управления»,Воронежская область,муниципальное образовательное автономное учреждение высшего образования «Воронежский институт экономики и социального управления»,http://viesm.ru/
264,НЧОУ ВО «НИЭУП»,Ставропольский край,"некоммерческое частное образовательное учреждение высшего образования «Невинномысский институт экономики, управления и права»",https://nieup.ru/
265,ОГБОУ ВО «Смоленский государственный институт искусств»,Смоленская область,областное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный институт искусств»,https://sgii-smol.ru/
266,ИМПЭ им. А.С. Грибоедова,г. Москва,образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,https://www.iile.ru/
267,МТУСИ,г. Москва,ордена Трудового Красного Знамени федеральное государственное бюджетное образовательное учреждение высшего образования «Московский технический университет связи и информатики»,https://mtuci.ru/
268,Национальный исследовательский университет «МИЭТ»; НИУ МИЭТ; МИЭТ,г. Москва,федеральное государственное автономное  образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»,https://www.miet.ru/
269,"ФГАОУ ВО «Балтийский федеральный университет имени Иммануила Канта», ФГАОУ ВО «Балтийский федеральный университет им. И. Канта», Балтийский федеральный университет имени Иммануила Канта, Балтийский федеральный университет им. И. Канта, ФГАОУ ВО «БФУ им. И. Канта», БФУ им. И. Канта",Калининградская область,федеральное государственное автономное образовательное учреждение высшего образования «Балтийский федеральный университет имени Иммануила Канта»,https://kantiana.ru/
270,"ФГАОУ ВО «Белгородский государственный  национальный исследовательский университет», Белгородский государственный  национальный исследовательский университет, НИУ ""БелГУ""",Белгородская область,федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,https://bsuedu.ru/bsu/
271,"ВолГУ, ФГАОУ ВО «Волгоградский государственный университет», Волгоградский государственный университет, ФГАОУ ВО ВолГУ",Волгоградская область,федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский государственный университет»,http://www.volsu.ru/
272,"ФГАОУ ВО «Государственный университет просвещения», Государственный университет просвещения, Просвет",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Государственный университет просвещения»,https://guppros.ru/
273,"ФГАОУ ВО «Дальневосточный федеральный университет», Дальневосточный федеральный университет, ФГАОУ ВО ДВФУ, ДВФУ",Приморский край,федеральное государственное автономное образовательное учреждение высшего образования «Дальневосточный федеральный университет»,https://www.dvfu.ru/
274,"ФГАОУ ВО «Казанский (Приволжский) федеральный университет», ФГАОУ ВО КФУ, КФУ, Казанский федеральный университет, Казанский университет, Казанский (Приволжский) федеральный университет",Республика Татарстан (Татарстан),федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»,https://kpfu.ru/
275,Крымский федеральный университет имени В.И. Вернадского; ФГАОУ ВО «КФУ им. В.И. Вернадского»,Республика Крым,федеральное государственное автономное образовательное учреждение высшего образования «Крымский федеральный университет имени В.И. Вернадского»,https://cfuv.ru/
276,Университет имени О.Е. Кутафина (МГЮА); МГЮА (Университет имени О.Е. Кутафина),г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)»,https://msal.ru/
277,"Московский политехнический университет, Московский Политех, Политех",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский политехнический университет»,https://mospolytech.ru/
278,"МФТИ, Физтех",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский физико-технический институт (национальный исследовательский университет)»,https://mipt.ru/
279,"ФГАОУ ВО «Мурманский арктический университет», Мурманский арктический университет, ФГАОУ ВО «МАУ», МАУ",Мурманская область,федеральное государственное автономное образовательное учреждение высшего образования «Мурманский арктический университет»,https://www.mauniver.ru/
280,"Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского, Нижегородский государственный университет им. Н.И. Лобачевского, ННГУ им. Н.И. Лобачевского, Университет Лобачевского, ННГУ",Нижегородская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»,http://www.unn.ru/
281,"Национальный исследовательский Томский государственный университет, Томский государственный университет, НИ ТГУ, ТГУ",Томская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»,https://www.tsu.ru/
282,"ФГАОУ ВО НИ ТПУ, ТПУ, Национальный исследовательский Томский политехнический университет, Томский политехнический университет",Томская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»,https://tpu.ru/
283,"Университет науки и технологий МИСИС, Университет МИСИС, НИТУ МИСИС, МИСИС",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСИС»,https://misis.ru/
284,"Национальный исследовательский университет «Высшая школа экономики», Высшая школа экономики, НИУ ВШЭ, ВШЭ",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»,https://www.hse.ru/
285,"Университет ИТМО, НИУ ИТМО, ИТМО",г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»,https://itmo.ru/
286,НИЯУ МИФИ,г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»,https://www.mephi.ru/
287,"Новосибирский государственный университет, НГУ",Новосибирская область,федеральное государственное автономное образовательное учреждение высшего образования «Новосибирский национальный исследовательский государственный университет»,https://www.nsu.ru/
288,"ФГАОУ ВО «Омский государственный технический университет», ОмГТУ",Омская область,федеральное государственное автономное образовательное учреждение высшего образования «Омский государственный технический университет»,https://www.omgtu.ru/
289,"ФГАОУ ВО «ОмГУ им. Ф.М. Достоевского», ОмГУ им. Ф.М. Достоевского, ОмГУ",Омская область,федеральное государственное автономное образовательное учреждение высшего образования «Омский государственный университет им. Ф.М. Достоевского»,https://omsu.ru/
290,"ФГАОУ ВО «Пермский государственный национальный исследовательский университет»,  ПГНИУ, Пермский государственный национальный исследовательский университет, Пермский государственный университет, ПГУ",Пермский край,федеральное государственное автономное образовательное учреждение высшего образования «Пермский государственный национальный исследовательский университет»,http://www.psu.ru/
291,"ФГАОУ ВО «Пермский национальный исследовательский политехнический университет», ФГАОУ ВО «ПНИПУ», «ПНИПУ»",Пермский край,федеральное государственное автономное образовательное учреждение высшего образования «Пермский национальный исследовательский политехнический университет»,https://pstu.ru/
292,"ФГАОУ ВО «РГППУ», РГППУ, ФГАОУ ВО «Российский государственный профессионально-педагогический университет»",Свердловская область,федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный профессионально-педагогический университет»,https://rsvpu.ru/
293,"ФГАОУ ВО «РГУ нефти и газа (НИУ) имени И.М. Губкина», РГУ нефти и газа (НИУ) имени И.М. Губкина, Губкинский университет",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина»,https://www.gubkin.ru/
294,ФГАОУ ВО РНИМУ им. Н.И. Пирогова Минздрава России,г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский национальный исследовательский медицинский университет имени Н.И. Пирогова» Министерства здравоохранения Российской Федерации,https://rsmu.ru/
295,"ФГАОУ ВО РУТ (МИИТ), РУТ (МИИТ)",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Российский университет транспорта»,https://www.miit.ru/
296,"СГЭУ, ФГАОУ ВО «СГЭУ», ФГАОУ ВО «Самарский государственный экономический университет», Самарский государственный экономический университет",Самарская область,федеральное государственное автономное образовательное учреждение высшего образования «Самарский государственный экономический университет»,http://www.sseu.ru/
297,Самарский университет,Самарская область,федеральное государственное автономное образовательное учреждение высшего образования «Самарский национальный исследовательский университет имени академика С.П. Королева»,https://www.ssau.ru/
298,"ГУАП, ФГАОУ ВО ГУАП, ФГАОУ ВО «Санкт-Петербургский государственный университет аэрокосмического приборостроения», Санкт-Петербургский государственный университет аэрокосмического приборостроения",г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет аэрокосмического приборостроения»,https://guap.ru/
299,СПбГЭТУ «ЛЭТИ»,г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)»,https://etu.ru/
300,"ФГАОУ ВО СПбПУ, СПбПУ, ФГАОУ ВО «СПбПУ», Санкт-Петербургский политехнический университет Петра Великого",г. Санкт-Петербург,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»,https://www.spbstu.ru/
301,ФГАОУ ВО «Севастопольский государственный университет»,,федеральное государственное автономное образовательное учреждение высшего образования «Севастопольский государственный университет»,https://www.sevsu.ru/
302,"ФГАОУ ВО «Северный (Арктический) федеральный университет имени М.В. Ломоносова», Северный (Арктический) федеральный университет имени М.В. Ломоносова, САФУ, САФУ имени М.В. Ломоносова",Архангельская область,федеральное государственное автономное образовательное учреждение высшего образования «Северный (Арктический) федеральный университет имени М.В. Ломоносова»,https://narfu.ru/
303,ФГАОУ ВО «Северо-Восточный федеральный университет им. М.К. Аммосова»; Северо-Восточный федеральный университет; СВФУ,Республика Саха (Якутия),федеральное государственное автономное образовательное учреждение высшего образования «Северо-Восточный федеральный университет имени М.К. Аммосова»,https://www.s-vfu.ru/
304,"ФГАОУ ВО «Северо-Кавказский федеральный университет», Северо-Кавказский федеральный университет, СКФУ",Ставропольский край,федеральное государственное автономное образовательное учреждение высшего образования «Северо-Кавказский федеральный университет»,https://ncfu.ru/
305,"ФГАОУ ВО «Сибирский федеральный университет», Сибирский федеральный университет, СФУ",Красноярский край,федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»,https://www.sfu-kras.ru/
306,"ФГАОУ ВО «Тюменский государственный университет», Тюменский государственный университет, ТюмГУ",Тюменская область,федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,https://www.utmn.ru/
307,"ФГАОУ ВО «УрФУ имени первого Президента России Б.Н. Ельцина», Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Уральский федеральный университет, УрФУ",Свердловская область,федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»,https://urfu.ru/
308,"ФГАОУ ВО «ЮУрГУ (НИУ)», Южно-Уральский государственный университет",Челябинская область,федеральное государственное автономное образовательное учреждение высшего образования «Южно-Уральский государственный университет (национальный исследовательский университет)»,https://www.susu.ru/ru
309,"Южный федеральный университет, ФГАОУ ВО «ЮФУ», ЮФУ",Ростовская область,федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»,https://sfedu.ru/
